|0
108|"Originally posted by SeaCatAnna:Originally posted by WizoDard: I believe the reason Ouma was the Ultimate Supreme Leader is because he was good at leading people and pushing them in certain directions. It doesn't really matter the group of people, 5, 10, 100, 1000, he was still a good, "" leader "". Although it's debatable whether or not he was a dictator...  It still doesn't make sense. According to the 'backstory' they got scouted as Ultimates. I just don't think that the title is appropriate. Ultimate Prankster or Ultimate Trickster would make more sense. I never understood how leadership skills could be quantified. I mean the only way they could notice him were through his pranks and petty crimes, yes? Chapter 6 Spoiler: Then again everything is made up, it could explain why Kokichi didn't believe the flashback lights were real if even his own background doesn't make any sense. He could have lied, but his motive video did say Ultimate Supreme Leader, right?Thank you for your response though."
109|"From just the design i must say Rantaro or Kokichi. Since rantaro seems to be a cool guy, chill and stuff. Kokichi remind me of a little too energic brother who can't express himself the way he want because he have too much older brothers and have to be the little crap of the familly to have some attention. Well i'm not really wrong for that i think. But through the game i have two more good character to add. First saihara, i didn't have a catch for his design but he have this ""little"" thing as a playable that i found in Hajime (sorry makoto your a blank plank). Also last favorite is Gonta. Why? Well.. GONTA GENTLEMAN. How you cannot like him, he is such a cutie.But pleade.. why Angie, why you made her so horribly annoying."
110|"Originally posted by Tatozel:From just the design i must say Rantaro or Kokichi. Since rantaro seems to be a cool guy, chill and stuff. Kokichi remind me of a little too energic brother who can't express himself the way he want because he have too much older brothers and have to be the little crap of the familly to have some attention. Well i'm not really wrong for that i think. But through the game i have two more good character to add. First saihara, i didn't have a catch for his design but he have this ""little"" thing as a playable that i found in Hajime (sorry makoto your a blank plank). Also last favorite is Gonta. Why? Well.. GONTA GENTLEMAN. How you cannot like him, he is such a cutie.But pleade.. why Angie, why you made her so horribly annoying."
111|Maki even prior to the reveal with her, liked her distant and distrusting demeaner as well as how she slowly opened up to you later on.Not a fan of religion but I did like Angie and her very eccentric and cheerful disposition. I was always amused how she would casually and creepily threaten those that would go against Atua's will.  That said when she goes all full-on theocratic on your a$s in the disguise of a student council. She took a nosedive in how I liked her. Was still sad to see her die thoughI also like Korekiyo and how unique he was  up until he cranked the creep factor to 11 in the middle of his class trial about how he appears to maybe be possessed by his dead sister? I imagine Kokichi was someone we were clearly meant to hate much like Nagito (???? him; still don't like him)  but in this case I actually loved how misleading he was at times. Always second guessing his statements.  The point how they tried to making him seem like malice incarnate when you clear the Death Road however was just silly and overly heavy handed, didn't do anything for me.
112|Originally posted by Ginrikuzuma:I imagine Kokichi was someone we were clearly meant to hate much like Nagito (???? him; still don't like him)  but in this case I actually loved how misleading he was at times. Always second guessing his statements.  The point how they tried to making him seem like malice incarnate when you clear the Death Road however was just silly and overly heavy handed, didn't do anything for me.
113|Originally posted by Battler Ushiromiya:Originally posted by Ginrikuzuma:I imagine Kokichi was someone we were clearly meant to hate much like Nagito (???? him; still don't like him)  but in this case I actually loved how misleading he was at times. Always second guessing his statements.  The point how they tried to making him seem like malice incarnate when you clear the Death Road however was just silly and overly heavy handed, didn't do anything for me.  I don't think either of them were meant to be hated. Kodaka has written one character with the intention of the fanbase hating them, and that's Monaca. Especially when Kokichi is an ally of the students in the end.
114|Originally posted by Mr Owl:Originally posted by Battler Ushiromiya:I don't think either of them were meant to be hated. Kodaka has written one character with the intention of the fanbase hating them, and that's Monaca. Especially when Kokichi is an ally of the students in the end. Monoca's meant to be hated? Why would he ever do this?
115|Originally posted by Battler Ushiromiya:Originally posted by Mr Owl:Monoca's meant to be hated? Why would he ever do this? Yeah, he wrote her with the express intention of being hated.
116|Originally posted by Battler Ushiromiya:Originally posted by Mr Owl:Monoca's meant to be hated? Why would he ever do this? Yeah, he wrote her with the express intention of being hated.
117|Originally posted by Mr Owl:Originally posted by Battler Ushiromiya:Yeah, he wrote her with the express intention of being hated. Where did he say that?
118|God, no faith. Look on TVTropes, Wikia, wherever, it'll say that Monaca was made with the express intent of being hated. I'm currently looking for the source, and I'll post another reply when I find it, but both Wikia and TVTropes have stated this. You can also check the edit history there, to confirm that it's been there for a while (specifically, soon after AE's international release)
119|Originally posted by Battler Ushiromiya:God, no faith. Look on TVTropes, Wikia, wherever, it'll say that Monaca was made with the express intent of being hated. I'm currently looking for the source, and I'll post another reply when I find it, but both Wikia and TVTropes have stated this. You can also check the edit history there, to confirm that it's been there for a while (specifically, soon after AE's international release)
120|Originally posted by WizoDard:Originally posted by Battler Ushiromiya:God, no faith. Look on TVTropes, Wikia, wherever, it'll say that Monaca was made with the express intent of being hated. I'm currently looking for the source, and I'll post another reply when I find it, but both Wikia and TVTropes have stated this. You can also check the edit history there, to confirm that it's been there for a while (specifically, soon after AE's international release) You better find that source, ;D.
121|According to my friend, the statement that Monaca was meant to be hated was in the comments of the AE artbook. The only scans of said artbook I can find are on the linked site, and you have to download it. https://reiutranslations.wordpress.com/2015/01/22/danganronpa-another-episode-material-book-scans/
122|Yea, I heard that as well. I think he also said that he couldn't write another Junko, so when he created Monaca he made her a character you basically couldn't like on purpose :p
123|Originally posted by Nexils:Yea, I heard that as well. I think he also said that he couldn't write another Junko, so when he created Monaca he made her a character you basically couldn't like on purpose :p
124|I'm pleased to see how balanced the character writing in this game. They're all so likable, kinda opposite from all previous game. I'm glad they finally take a same approach of that Zero Escape counterpart, give them something eventhough they don't last very long.
125|Originally posted by ~Nutkun7993~:I'm pleased to see how balanced the character writing in this game. They're all so likable, kinda opposite from all previous game. I'm glad they finally take a same approach of that Zero Escape counterpart, give them something eventhough they don't last very long.
126|Originally posted by WizoDard:Originally posted by ~Nutkun7993~:I'm pleased to see how balanced the character writing in this game. They're all so likable, kinda opposite from all previous game. I'm glad they finally take a same approach of that Zero Escape counterpart, give them something eventhough they don't last very long. You think that the previous games had characters that weren't as likeable? The only exception I would say is  Leon ( because he gets killed off first, since he was the first killer. ) Not Sayaka because she had a major impact on Naegi and was kind of prominent in the beginning.  Otherwise, Byakuya and Teruteru of SDR2 had their own unqiue personalities and played their part in the killing game.  I would say in contrast, though, that V3 definitely had much more of an appealing cast, even the people who got killed off first didn't go to waste at all...The spoiler blocks are for DR1 and SDR2.
127|Originally posted by Mr Owl:Originally posted by WizoDard:You think that the previous games had characters that weren't as likeable? The only exception I would say is  Leon ( because he gets killed off first, since he was the first killer. ) Not Sayaka because she had a major impact on Naegi and was kind of prominent in the beginning.  Otherwise, Byakuya and Teruteru of SDR2 had their own unqiue personalities and played their part in the killing game.  I would say in contrast, though, that V3 definitely had much more of an appealing cast, even the people who got killed off first didn't go to waste at all...The spoiler blocks are for DR1 and SDR2. I found alot of DR1 characters bad, Junko, Mukoro, asahina, toko, hifumi. And dr2 characters while less i also didnt like some,  Sonya, Mikan, ibuki, nekomaru, And in dr3 I only disliked tenko.
128|Originally posted by WizoDard:Originally posted by Mr Owl:I found alot of DR1 characters bad, Junko, Mukoro, asahina, toko, hifumi. And dr2 characters while less i also didnt like some,  Sonya, Mikan, ibuki, nekomaru, And in dr3 I only disliked tenko. Why did you dislike Tenko? And I guess I understand where you are coming from now...Although you're a different person, I get the other person's point.
129|Originally posted by Mr Owl:Originally posted by WizoDard:Why did you dislike Tenko? And I guess I understand where you are coming from now...Although you're a different person, I get the other person's point. I dislike tenko because depth does not make a character less annoying...  I'm glad she died in chapter 3.
130|Originally posted by Battler Ushiromiya:Originally posted by Mr Owl:I dislike tenko because depth does not make a character less annoying...  I'm glad she died in chapter 3. *stares angrily*
131|Originally posted by Mr Owl:Originally posted by Battler Ushiromiya:*stares angrily* I dont know how you dont find her 3 things to say annoying...
132|Originally posted by WizoDard:Originally posted by Mr Owl:I dont know how you dont find her 3 things to say annoying... 3 things? And did you even play through her Free Time Events to at least try and understand her?
133|Originally posted by Mr Owl:Originally posted by Battler Ushiromiya:*stares angrily* I dont know how you dont find her 3 things to say annoying...
134|Originally posted by Battler Ushiromiya:Originally posted by Mr Owl:I dont know how you dont find her 3 things to say annoying... *Continues saring angrily*
135|Originally posted by Mr Owl:Originally posted by WizoDard:You think that the previous games had characters that weren't as likeable? The only exception I would say is  Leon ( because he gets killed off first, since he was the first killer. ) Not Sayaka because she had a major impact on Naegi and was kind of prominent in the beginning.  Otherwise, Byakuya and Teruteru of SDR2 had their own unqiue personalities and played their part in the killing game.  I would say in contrast, though, that V3 definitely had much more of an appealing cast, even the people who got killed off first didn't go to waste at all...The spoiler blocks are for DR1 and SDR2. I found alot of DR1 characters bad, Junko, Mukoro, asahina, toko, hifumi. And dr2 characters while less i also didnt like some,  Sonya, Mikan, ibuki, nekomaru, And in dr3 I only disliked tenko.
136|Originally posted by Ginrikuzuma:Originally posted by Mr Owl:I found alot of DR1 characters bad, Junko, Mukoro, asahina, toko, hifumi. And dr2 characters while less i also didnt like some,  Sonya, Mikan, ibuki, nekomaru, And in dr3 I only disliked tenko. Disliked and badly developed should be more clearly outlined.In that regard Mukuro and Hifumi (and to some extent Mikan and Tenko) I can agree with. Obviously we got nothing on Mukuro thanks to her being the first one killed. While we know her backstory later on when digging up info on her. As a character however she has none due to not being alive to show any of her own character. Unless we count the non-canon stuff like Dangan IF) Hifumi (and I guess Tenko) were rather one dimensional characters.As for the others if you dislike them sure but to say the others are bad and I would have to raise an eyebrow
137|Originally posted by Ginrikuzuma:Originally posted by Mr Owl:I found alot of DR1 characters bad, Junko, Mukoro, asahina, toko, hifumi. And dr2 characters while less i also didnt like some,  Sonya, Mikan, ibuki, nekomaru, And in dr3 I only disliked tenko. Disliked and badly developed should be more clearly outlined.In that regard Mukuro and Hifumi (and to some extent Mikan and Tenko) I can agree with. Obviously we got nothing on Mukuro thanks to her being the first one killed. While we know her backstory later on when digging up info on her. As a character however she has none due to not being alive to show any of her own character. Unless we count the non-canon stuff like Dangan IF) Hifumi (and I guess Tenko) were rather one dimensional characters.As for the others if you dislike them sure but to say the others are bad and I would have to raise an eyebrow
138|Originally posted by Mr Owl:Originally posted by Ginrikuzuma:Disliked and badly developed should be more clearly outlined.In that regard Mukuro and Hifumi (and to some extent Mikan and Tenko) I can agree with. Obviously we got nothing on Mukuro thanks to her being the first one killed. While we know her backstory later on when digging up info on her. As a character however she has none due to not being alive to show any of her own character. Unless we count the non-canon stuff like Dangan IF) Hifumi (and I guess Tenko) were rather one dimensional characters.As for the others if you dislike them sure but to say the others are bad and I would have to raise an eyebrow Ya, I guess i should have said dislike, Sorry.
139|Originally posted by NgzeroNigel:Originally posted by Mr Owl:Ya, I guess i should have said dislike, Sorry. In my opinion I love DR1 cast as they are more grounded to reality, DR2 cast is more unique and bizarre while DRV3 cast is a great mixture of both. In terms of characters even Leon is an interested character after going through his free time events. Mukuro is an interesting character as you see not only her perspective of Junko as well as a bit about her true personality. You can find a lot of depth and things of interest which each character, just depend on your cup of tea when it come to characters.
140|Originally posted by WizoDard:Originally posted by NgzeroNigel:In my opinion I love DR1 cast as they are more grounded to reality, DR2 cast is more unique and bizarre while DRV3 cast is a great mixture of both. In terms of characters even Leon is an interested character after going through his free time events. Mukuro is an interesting character as you see not only her perspective of Junko as well as a bit about her true personality. You can find a lot of depth and things of interest which each character, just depend on your cup of tea when it come to characters. I would agree with you, but that's when you go out of your way to learn about them. For people like Mr.Owl, who clearly doesn't give a crap about Tenko, he would just say that she is one-dimensional. But Kodaka did say he created every character as though they could be the main character of the story because of their uniqueness.
141|Originally posted by Mr Owl:Originally posted by WizoDard:I would agree with you, but that's when you go out of your way to learn about them. For people like Mr.Owl, who clearly doesn't give a crap about Tenko, he would just say that she is one-dimensional. But Kodaka did say he created every character as though they could be the main character of the story because of their uniqueness. I said multiple times depth does not make a character less annoying... Tenko annoys me.
142|Originally posted by WizoDard:Originally posted by Mr Owl:I said multiple times depth does not make a character less annoying... Tenko annoys me. Hmmmmmm...
143|Originally posted by Mr Owl:Originally posted by WizoDard:Hmmmmmm... What?
144|I love Tsumugi, Kokichi and Shuichi. But i liked a lot of characters in the end
145|Originally posted by Cutiesbae:I love Tsumugi, Kokichi and Shuichi. But i liked a lot of characters in the end
146|According to the Danganronpa sorter Shuichi, Himiko and Maki are my favorite characters.Kirumi, Kaito and Kiibo come after that.Who my favorite characters are, really depends on how much certain characters annoyed me throughout the game and how much I can tolerate them (because I bet Miu is an annoying character to a lot of people while I personally find her hilarious as hell).There aren't any characters I dislike or hate, there are just some characters I really find less interesting or appealing to me. Korekiyo (although he's dark and dramatic), Angie (although she's kinda fun), Kokichi (although he's mysterious) and Gonta (although he's such a sweetheart) are characters I just can't connect with for one reason or the other and that's why I don't like them as much, compared to the others.
147|Originally posted by Nexils:According to the Danganronpa sorter Shuichi, Himiko and Maki are my favorite characters.Kirumi, Kaito and Kiibo come after that.Who my favorite characters are, really depends on how much certain characters annoyed me throughout the game and how much I can tolerate them (because I bet Miu is an annoying character to a lot of people while I personally find her hilarious as hell).There aren't any characters I dislike or hate, there are just some characters I really find less interesting or appealing to me. Korekiyo (although he's dark and dramatic), Angie (although she's kinda fun), Kokichi (although he's mysterious) and Gonta (although he's such a sweetheart) are characters I just can't connect with for one reason or the other and that's why I don't like them as much, compared to the others.
148|Originally posted by WizoDard:  What a coincidence that your favorite characters are the survivors, xD
149|Originally posted by Nexils:Originally posted by WizoDard:  What a coincidence that your favorite characters are the survivors, xD Coincidence...? I'm not sure if that's fair. I just had the chance to spend more time with them compared to the others.For every game I decided to have one favorite male and female character. Almost like betting on horses in a race.In DR1 they both died... nearly straight away XD then the real Junko appeared and I was somewhat happy again :p Leon stayed dead, but then other guys started to become more interesting anyway, so I wasn't too sadNow DR2 was a whoooole different story... Because I really liked Sonia and Kazuichi and both of them survived. I still liked them at the end.In V3 my favorites from the start were Kirumi and Kiibo. One of them died waaay too early for me to actually like them and the other one died right before the end T^T so close :p
150|Originally posted by WizoDard:So you value experience and a developing character vs. a character that goes through one moment which develops them before they die?
151|"Originally posted by Nexils:Originally posted by WizoDard:So you value experience and a developing character vs. a character that goes through one moment which develops them before they die? I suppose so, yes. I thoroughly enjoyed Himiko's character development throughout the game. The only thing I dislike is that she was still forcefully talking about her magic until the end, while it would've been better in my opinion if she shed that character trait after chapter 2 (with her trick being exposed and her coming to terms with magic not being real etc.).[/quote]She knows her magic is fake. She's not an idiot. The reason she does that is to preserve the magic in it. Just like ""Guys, it's totally magic, please don't think deeper into it or you'll ruin the fun"".??????like that."
152|I suppose that's true, but she still held on to it. Perhaps I should spend free time with her...Figuring out why might be interesting.
153|Gonta is easily my favorite. I love seeing charcters that are abnormally big turn out to be giant sweethearts, and he took that idea and made his a personal connection!
154|Originally posted by Tibearius6423:Gonta is easily my favorite. I love seeing charcters that are abnormally big turn out to be giant sweethearts, and he took that idea and made his a personal connection!
155|Originally posted by WizoDard:Originally posted by Tibearius6423:Gonta is easily my favorite. I love seeing charcters that are abnormally big turn out to be giant sweethearts, and he took that idea and made his a personal connection! I'm guessing you loved Bandai getting killed very quickly by his NG Code in DR3, ;D. [/quote]should probably put a spoiler over that.
156|Originally posted by Owlman:Originally posted by WizoDard:I'm guessing you loved Bandai getting killed very quickly by his NG Code in DR3, ;D.  should probably put a spoiler over that.
157|Originally posted by WizoDard:Originally posted by Owlman:should probably put a spoiler over that. I decided not too because it's the 2nd episode of the anime, and most people have already watched it or are never going to watch the rest because they're salty...
158|Originally posted by Owlman:Originally posted by WizoDard:I decided not too because it's the 2nd episode of the anime, and most people have already watched it or are never going to watch the rest because they're salty... You never know man... And salty about what?
159|Originally posted by WizoDard:Originally posted by Owlman:You never know man... And salty about what? Some people hated the anime and didn't want to continue it...I am not sure they could hate it so early on, but life happens doesn't it?
160|Originally posted by Owlman:Originally posted by WizoDard:Some people hated the anime and didn't want to continue it...I am not sure they could hate it so early on, but life happens doesn't it? Still, im sure SOMEBODY either hasnt heard of the anime or hasnt watched it for whatever reason, its no real work to cover it up.
161|kiibo and ouma are hands down my top favorite.a character i wanted dead with my entire being is Angie. i really wanted to like her because she's cute, but she wouldn't shut up about atua
162|kaede at first, then tsumugi. monodam was also a fun character
163|Originally posted by Dolly:kaede at first, then tsumugi. monodam was also a fun character
164|1. Kokichi with huge distance to the others, damn he was so awesome. One of the most mysterious character of V3 and all Danganronnpa Games, on par with Nagito.2. Kaito, Just liked his positive personality and  how he sacreficed himself. Him working together with Kokichi was the best case in the whole game. One of the hardest Deaths for me, also he won against the Game. <-Chapter 5 End3. Maki, because she realy changed her character a lot. And the was very strong restraining herself to not kill Kokichi xD <- Chapter 5 End
165|Tenko aside from her being a manhater she expresses her emotions easily which is why I like her character. And also there is just something about Angie, aside from her being too heavy on Atua shes weird but cute character. And finally, Maki because shes like Kirigiri. For some reason the moment I met her in the demo,  I believed she would live through the whole thing so I rooted so hard for the Ultimate child caregiver. So from my 3 fav girls, Before the game it was Maki>Angie>Tenko now its Angie>Tenko>MakiFav guys my top 3 will probably be Ryoma, Kokichi and Shuichi. I never really was into shuichi's character but to me hes practically better than the remaining other guys I didnt pick. And because I thought detectives will always be important in danganronpa games so I just assumed hes safe.  Ryoma, I feel is the best character because he used to play tennis and hes a lone wolf type of person which I can relate and respect. Kokichi, well its kokichi. I listened to his english actor and I swear this guy is the reason I'd replay the game just to hear his english VA after a runthrough the game in japanese. So before the game it was Ryoma>Shuichi>Kokichi now its Ryoma>Kokichi>Shuichi.
